Accession,Geo_Location,Host,Collection_Date,
JX878407.1,Democratic Republic of the Congo,Homo sapiens,2006-09-10,0
JX878411.1,Democratic Republic of the Congo,Homo sapiens,2006-11-30,81
JX878413.1,Democratic Republic of the Congo,Homo sapiens,2006-12-14,95
JX878415.1,Democratic Republic of the Congo,Homo sapiens,2006-12-26,107
JX878417.1,Democratic Republic of the Congo,Homo sapiens,2006-12-14,95
JX878418.1,Democratic Republic of the Congo,Homo sapiens,2007-01-02,114
JX878421.1,Democratic Republic of the Congo,Homo sapiens,2007-03-22,193
JX878422.1,Democratic Republic of the Congo,Homo sapiens,2007-03-20,191
JX878424.1,Democratic Republic of the Congo,Homo sapiens,2007-03-25,196
JX878426.1,Democratic Republic of the Congo,Homo sapiens,2007-05-27,259
JX878427.1,Democratic Republic of the Congo,Homo sapiens,2007-05-25,257
JX878429.1,Democratic Republic of the Congo,Homo sapiens,2007-09-04,359
MK783028.1,Nigeria: Rivers State,Homo sapiens,2017-11-09,4078
MK783029.1,Nigeria: Rivers State,Homo sapiens,2017-12-06,4105
MK783030.1,Nigeria: Rivers State,Homo sapiens,2017-11-30,4099
MK783031.1,Nigeria: Rivers State,Homo sapiens,2017-11-09,4078
MK783032.1,Nigeria: Rivers State,Homo sapiens,2017-11-15,4084
MN648051.1,Israel,Homo sapiens,2018-10-04,4407
MN346690.1,Cote d'Ivoire,Pan troglodytes verus,2017-03-13,3837
MN346693.1,Cote d'Ivoire,Pan troglodytes verus,2017-04-08,3863
MN346694.1,Cote d'Ivoire,Pan troglodytes verus,2017-03-28,3852
MN346696.1,Cote d'Ivoire,Pan troglodytes verus,2017-04-03,3858
MN346698.1,Cote d'Ivoire,Pan troglodytes verus,2017-01-24,3789
MN346700.1,Cote d'Ivoire,Pan troglodytes verus,2017-01-31,3796
MN346702.1,Cote d'Ivoire,Pan troglodytes verus,2018-05-11,4261
ON563414.2,USA: MA,Homo sapiens,2022-05-15,5726
ON568298.1,Germany,Homo sapiens,2022-05-19,5730
ON585031.1,Portugal,Homo sapiens,2022-05-15,5726
ON585033.1,Portugal,Homo sapiens,2022-05-15,5726
ON585035.1,Portugal,Homo sapiens,2022-05-15,5726
ON585038.1,Portugal,Homo sapiens,2022-05-15,5726
OK422495.1,India,Bubalus bubalis,,
